rent,Housing
house,Housing
house stuff,Housing
house forniture,Housing
house furniture,Housing
house sutff,Housing
houseOfAssembly,Housing
House of Assembly,Housing
House of assembly,Housing
occupancy fee,Housing

phone,Utilities & Bills
internet,Utilities & Bills
internet & tv,Utilities & Bills
tv,Utilities & Bills

life insurance,Insurance
Life Insurance,Insurance
Canada Life,Insurance
Cait Insurance,Insurance

grocery,Food & Groceries
grocery shared,Food & Groceries
grocery & holiday,Food & Groceries
caffe,Food & Groceries
pub & caffe,Food & Groceries
pub,Food & Groceries
drink,Food & Groceries
food,Food & Groceries

health,Health & Medical
health & beauty,Health & Medical
pharmacy,Health & Medical
pharmacy & Health,Health & Medical
health supplements,Health & Medical
healt sumplements,Health & Medical
health suplements,Health & Medical
physio-chiro,Health & Medical
chyro,Health & Medical
chyro & Physio,Health & Medical
psychotherapy,Health & Medical
counseling,Health & Medical

parking,Transportation
public transport,Transportation
bike,Transportation

hockey,Sports & Fitness
hockey league,Sports & Fitness
hockey equipment,Sports & Fitness
hockey gear,Sports & Fitness
hockey games/lesson,Sports & Fitness
hockey  ,Sports & Fitness
sport,Sports & Fitness
snowboarding,Sports & Fitness
cait snowboard,Sports & Fitness
Cait Snowboard lesson,Sports & Fitness
gym,Sports & Fitness

clothes,Shopping & Clothing
cloathes,Shopping & Clothing
underwear,Shopping & Clothing
beauty,Shopping & Clothing
beuty prod,Shopping & Clothing

computer,Shopping & Electronics
electronics,Shopping & Electronics
eletronics,Shopping & Electronics
heahphones,Shopping & Electronics
hi-fi,Shopping & Electronics
hi fi,Shopping & Electronics
hi-fi system,Shopping & Electronics
marketplace,Shopping & Electronics
maketplace,Shopping & Electronics
amazon to divide,Shopping & Electronics

andrea-cait,Personal Transfers
andrea & cait,Personal Transfers
Cait-Andrea,Personal Transfers
Cait-Andrea SunP,Personal Transfers
Cait expense,Personal Transfers
Cait expenses,Personal Transfers
Cait's gift,Personal Transfers
Cait's rent,Personal Transfers
Cait debit,Personal Transfers
joint account,Personal Transfers
Tangerine,Personal Transfers
cash,Personal Transfers
wire,Personal Transfers
investment,Personal Transfers
investments,Personal Transfers
Moena Investment,Personal Transfers
Moena,Personal Transfers
TFSA,Personal Transfers

subscription,Subscriptions
subscriptions,Subscriptions
coaching,Subscriptions

vinlys,Entertainment
foto,Entertainment
camping,Entertainment
holiday Andrea-Cait,Entertainment
Holiday Andrea-Cait SF,Entertainment
travel,Entertainment
summer holiday,Entertainment
book,Entertainment
gift,Entertainment

bank fees,Banking & Fees
bank fee,Banking & Fees
bank charges,Banking & Fees
wire fees,Banking & Fees
error,Banking & Fees
mistake,Banking & Fees
mismatch,Banking & Fees
other,Banking & Fees

CRA,Taxes
tax refund,Taxes

co-working,Work & Business
accountant,Work & Business

unknown,Miscellaneous
